,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,energy
1,48,0,48,0,48,0,16,0,48,48,0,24,48,96,48,48,16,24,0,0,48,0,0,-365.79737
2,56,0,48,0,44,0,16,0,44,48,0,20,48,96,52,48,16,20,0,0,52,0,0,-366.03045
3,48,0,48,0,48,0,16,0,48,48,0,24,48,96,48,48,16,24,0,0,48,0,0,-365.77163
4,52,0,48,0,48,0,16,0,48,48,0,22,48,96,48,48,16,22,0,0,48,0,0,-365.89643
5,56,0,48,0,40,0,16,0,40,48,0,20,48,96,56,48,16,20,0,0,56,0,0,-366.06857
6,48,0,48,0,52,0,16,0,52,48,0,24,48,96,44,48,16,24,0,0,44,0,0,-365.7464
7,52,0,48,0,48,0,16,0,48,48,0,22,48,96,48,48,16,22,0,0,48,0,0,-365.90201
8,48,0,48,0,52,0,16,0,52,48,0,24,48,96,44,48,16,24,0,0,44,0,0,-365.78312
9,40,0,48,0,56,0,16,0,56,48,0,28,48,96,40,48,16,28,0,0,40,0,0,-365.51839
10,44,0,48,0,56,0,16,0,56,48,0,26,48,96,40,48,16,26,0,0,40,0,0,-365.58796
11,40,0,48,0,60,0,16,0,60,48,0,28,48,96,36,48,16,28,0,0,36,0,0,-365.49118
12,60,0,48,0,40,0,16,0,40,48,0,18,48,96,56,48,16,18,0,0,56,0,0,-366.17059
13,60,0,48,0,48,0,16,0,48,48,0,18,48,96,48,48,16,18,0,0,48,0,0,-366.11345
14,56,0,48,0,40,0,16,0,40,48,0,20,48,96,56,48,16,20,0,0,56,0,0,-366.06596
15,32,0,48,0,64,0,16,0,64,48,0,32,48,96,32,48,16,32,0,0,32,0,0,-365.23468
16,44,15,27,18,48,15,9,18,48,27,5,38,45,54,72,45,15,14,9,6,24,9,3,-365.558694
17,44,13,25,18,48,13,11,18,48,25,7,38,47,54,72,47,13,14,11,6,24,11,1,-365.31591
18,44,14,26,24,48,14,10,24,48,26,6,38,46,48,72,46,14,14,10,0,24,10,2,-365.36627
19,44,15,27,24,48,15,9,24,48,27,5,38,45,48,72,45,15,14,9,0,24,9,3,-365.51172
20,48,14,26,18,44,14,10,18,44,26,6,36,46,54,76,46,14,12,10,6,28,10,2,-365.64404
21,40,14,26,18,52,14,10,18,52,26,6,40,46,54,68,46,14,16,10,6,20,10,2,-365.27666
22,48,15,27,18,48,15,9,18,48,27,5,36,45,54,72,45,15,12,9,6,24,9,3,-365.70656
23,52,14,26,18,40,14,10,18,40,26,6,34,46,54,80,46,14,10,10,6,32,10,2,-365.78365
24,36,15,27,18,56,15,9,18,56,27,5,42,45,54,64,45,15,18,9,6,16,9,3,-365.22612
25,40,17,29,18,56,17,7,18,56,29,3,40,43,54,64,43,17,16,7,6,16,7,5,-365.59443
26,44,15,27,18,56,15,9,18,56,27,5,38,45,54,64,45,15,14,9,6,16,9,3,-365.53303
27,44,14,26,18,48,14,10,18,48,26,6,38,46,54,72,46,14,14,10,6,24,10,2,-365.49461
28,56,15,27,18,36,15,9,18,36,27,5,32,45,54,84,45,15,8,9,6,36,9,3,-365.98626
29,48,13,25,18,52,13,11,18,52,25,7,36,47,54,68,47,13,12,11,6,20,11,1,-365.42288
30,36,13,25,18,56,13,11,18,56,25,7,42,47,54,64,47,13,18,11,6,16,11,1,-365.05145
31,40,35,11,24,36,35,5,24,36,11,13,52,37,24,108,37,11,4,13,24,12,13,3,-365.59375
32,40,35,11,24,36,35,5,24,36,11,13,52,37,24,108,37,11,4,13,24,12,13,3,-365.59375
33,40,35,11,30,40,35,5,30,40,11,13,52,37,18,104,37,11,4,13,18,8,13,3,-365.49738
34,40,34,10,24,40,34,6,24,40,10,14,52,38,24,104,38,10,4,14,24,8,14,2,-365.4476
35,32,34,10,24,44,34,6,24,44,10,14,56,38,24,100,38,10,8,14,24,4,14,2,-365.14684
36,40,35,11,24,36,35,5,24,36,11,13,52,37,24,108,37,11,4,13,24,12,13,3,-365.59374
37,36,36,12,24,40,36,4,24,40,12,12,54,36,24,104,36,12,6,12,24,8,12,4,-365.52831
38,36,35,11,24,40,35,5,24,40,11,13,54,37,24,104,37,11,6,13,24,8,13,3,-365.4389
39,44,36,12,24,40,36,4,24,40,12,12,50,36,24,104,36,12,2,12,24,8,12,4,-365.70069
40,40,36,12,24,36,36,4,24,36,12,12,52,36,24,108,36,12,4,12,24,12,12,4,-365.63309
41,40,37,13,24,40,37,3,24,40,13,11,52,35,24,104,35,13,4,11,24,8,11,5,-365.70228
42,40,35,11,30,40,35,5,30,40,11,13,52,37,18,104,37,11,4,13,18,8,13,3,-365.49738
43,40,34,10,24,40,34,6,24,40,10,14,52,38,24,104,38,10,4,14,24,8,14,2,-365.4476
44,32,34,10,24,44,34,6,24,44,10,14,56,38,24,100,38,10,8,14,24,4,14,2,-365.14684
45,40,35,11,24,36,35,5,24,36,11,13,52,37,24,108,37,11,4,13,24,12,13,3,-365.59374
46,20,64,4,24,24,64,0,24,24,4,20,74,20,0,144,20,8,2,8,48,0,8,4,-365.50908
47,0,96,0,0,0,96,0,0,0,0,32,96,0,0,192,0,0,0,0,96,0,0,0,-365.53064